keyword,translated_keyword
好吃 盖饭,Delicious rice bowl
好吃 米,Delicious rice
好吃 米饭,Delicious rice
好吃 肉饭,Delicious pilaf
好吃 自助餐,Delicious buffet
好吃 茶点,Delicious refreshment
好吃 草莓,Delicious strawberry
好吃 菜,Delicious dish
好吃 菜品,Delicious dishes
好吃 虾,Delicious shrimp
好吃 蛋,Delicious egg
好吃 蛋糕,Delicious cake
好吃 蜜,Delicious honey
好吃 西餐,Delicious western food
好吃 豆,Delicious beans
好吃 豆腐,Delicious tofu
好吃 酒店,Delicious hotel
好吃 附近,Delicious nearby
好吃 雪糕,Delicious ice cream
好吃 面,Delicious noodles
好吃 面包,Delicious bread
好吃 面包房,Delicious bakery
好吃 面馆,Delicious noodle shop
好吃 食物,Delicious food
好吃 餐,Delicious meal
好吃 餐厅,Delicious restaurant
好吃 餐点,Delicious meal
好吃 餐馆,Delicious restaurant
好吃 饭,Delicious meal
好吃 饭团,Delicious rice ball
好吃 饭店,Delicious restaurant
好吃 饭菜,Delicious meal
好吃 馆,Delicious restaurant
好吃 鸟,Delicious bird
好吃 😋,Delicious 😋
客房,Room
小 不错,Small good
小 多,Small much
小 日式,Small japanese style
小 远,Small far
巨 多,Huge
巨 远,Huge far
干净,clean
干净 一如既往,Clean as always
干净 不错,Clean good
干净 五脏俱全,Clean and complete
干净 人间,Clean world
干净 价格,Clean price
干净 位置,Clean location
干净 你,Clean you
干净 便利,Clean and convenient
干净 关键,Clean key
干净 内部,Clean interior
干净 前台,Clean front desk
干净 卫生,Clean and hygienic
干净 卫生间,Clean toilet
干净 印象,Clean impression
干净 厕所,Clean toilet
干净 厕浴,Clean toilet bath
干净 周围,Clean around
干净 周边,Clean surroundings
干净 品,Clean product
干净 国家,Clean country
干净 地方,Clean place
干净 地板,Clean floor
干净 地段,Clean location
干净 地毯,Clean carpet
干净 地铁,Clean subway
干净 地铁站,Clean subway station
干净 墙壁,Clean the walls
干净 墙面,Clean wall
干净 大,Clean big
干净 大小,Clean size
干净 客房,Clean rooms
干净 室内,Clean indoor
干净 宾馆,Clean hotel
干净 对面,Clean opposite
干净 小,Clean small
干净 小小,Clean little
干净 小巧,Clean and compact
干净 屋子,Clean house
干净 干干净净,Clean and clean
干净 床,Clean bed
干净 床单,Clean sheets
干净 床褥,Clean mattress
干净 床铺,Clean bed
干净 态度,Clean attitude
干净 性价比,Clean and cost-effective
干净 总体,Clean overall
干净 感觉,Clean feeling
干净 我,Clean me
干净 房,Clean room
干净 房子,Clean house
干净 房屋,Clean house
干净 房间,Clean room
干净 打扫,Clean up
干净 收拾,Clean up
干净 整体,Clean overall
干净 整理,Clean up
干净 方,Clean party
干净 方便,Clean and convenient
干净 方面,Clean aspect
干净 旁边,Clean next to
干净 日本,Clean japan
干净 旧,Clean old
干净 早餐,Clean breakfast
干净 有,Clean yes
干净 服务,Clean service
干净 服务员,Clean waiter
干净 本身,Clean itself
干净 条件,Clean condition
干净 枕头,Clean pillow
干净 档,Clean file
干净 楼下,Clean downstairs
干净 毛巾,Clean towel
干净 气,Clean gas
干净 水,Clean water
干净 水准,Clean standard
干净 沙滩,Clean beach
干净 洗,Clean wash
干净 洗手间,Clean toilet
干净 洗浴,Clean bath
干净 洗澡间,Clean bathroom
干净 浴,Clean bath
干净 浴场,Clean bath
干净 浴室,Clean bathroom
干净 浴巾,Clean bath towel
干净 浴缸,Clean bathtub
干净 海水,Clean sea water
干净 海滩,Clean beach
干净 淋浴,Clean shower
干净 温泉,Clean hot spring
干净 游泳池,Clean swimming pool
干净 澡堂,Clean bathhouse
干净 点,Clean point
干净 照片,Clean photos
干净 物品,Clean items
干净 特色,Clean features
干净 环境,Clean environment
干净 现代,Clean modern
干净 用品,Clean supplies
干净 白布,Clean white cloth
干净 真,Clean really
干净 睡衣,Clean pajamas
干净 程度,Cleanliness
干净 稍小,"Clean, slightly smaller"
干净 空间,Clean space
干净 简介,Clean introduction
干净 细节,Clean details
干净 街道,Clean street
干净 被子,Clean quilt
干净 被褥,Clean bedding
干净 装修,Clean decoration
干净 设备,Clean equipment
干净 设施,Clean facilities
干净 选择,Clean choice
干净 酒店,Clean hotel
干净 里面,Clean inside
干净 重要,Clean important
干净 门,Clean door
干净 风格,Clean style
干净 饭店,Clean restaurant
干净 麻雀,Clean sparrow
庭院,patio
快捷 便利,Fast and convenient
总体,overall
意外 好吃,Unexpectedly delicious
推荐,recommend
新,new
新 ....,New...
新 一,New one
新 一些,Newer
新 一点,New
新 世界,New world
新 东西,New thing
新 两,New two
新 中心,New center
新 主楼,New main building
新 五星,New Five Star
新 京,New Beijing
新 京极,Shinkyogoku
新 价,New price
新 位置,New location
新 住,New live
新 体验,New Experience
新 利,Xinli
新 区,New District
新 千岁,New Chitose
新 去,New go
新 商务区,New business district
新 商场,New mall
新 地方,New place
新 地铁,New subway
新 坂,Shin Saka
新 大堂,New lobby
新 大楼,New building
新 大阪,New Osaka
新 大阪站,New Osaka Station
新 宿,Shinjuku
新 宿ビ,Shinjuku ビ
新 宿三,Shinjuku
新 宿东,New Sudong
新 宿区,Shinjuku
新 宿格兰,Shinjuku Grand
新 宿站,Shinjuku Station
新 宿西,Shinjuku West
新 宿近,Shinjuku
新 干线,Shinkansen
新 年,new Year
新 床,New bed
新 床单,New sheets
新 店,New shop
新 御,New Royal
新 心,New heart
新 感觉,New feeling
新 房,New room
新 房间,New room
新 斋,New
新 斋桥,New Saibashi
新 旧,New old
新 早餐,New breakfast
新 服务,New service
新 木场,New Kiba
新 本,New
新 本身,New itself
新 机场,New airport
新 板,New board
新 楼,New building
新 毛巾,New towel
新 潮,New trend
新 王子,New prince
新 瓶装水,New bottled water
新 用品,New supplies
新 白河,New Baihe
新 硬件,New hardware
新 票,New ticket
新 程度,New degree
新 站,New station
新 荣,Xinrong
新 荣町,Shin Sakae
新 装,New outfit
新 装修,New decoration
新 视野,New vision
新 设备,new device
新 设施,New facility
新 谷,New Valley
新 轮,New round
新 酒店,New hotel
新 阪急,New Hankyu
新 馆,New building
新 高楼,New high-rise
日式,Japanese-style
日式 东西,Japanese style
日式 两,Japanese style two
日式 串,Japanese style
日式 之一,Japanese style one
日式 人,People
日式 吃,Eating
日式 味道,Japanese taste
日式 品种,Japanese style
日式 套餐,Japanese set meal
日式 店,Japanese shop
日式 庭院,Japanese style courtyard
日式 怀石料理,Japanese kaiseki cuisine
日式 态度,Japanese attitude
日式 感觉,Japanese style
日式 房,Japanese style room
日式 房间,Japanese style room
日式 按摩,Japanese massage
日式 料理,Japanese cuisine
日式 旅馆,Ryokan
日式 早餐,Japanese breakfast
日式 早饭,Japanese breakfast
日式 服务,Japanese service
日式 标准,Japanese standard
日式 榻榻米,Japanese style tatami
日式 欧式,Japanese style
日式 浴,Japanese bath
日式 浴场,Japanese style bath
日式 浴室,Japanese style bathroom
日式 浴衣,Japanese Yukata
日式 温泉,Japanese hot spring
日式 澡堂,Japanese style bathhouse
日式 火锅,Japanese hot pot
日式 种类,Japanese style
日式 窗户,Japanese style window
日式 结合,Japanese style
日式 自助餐,Japanese buffet
日式 花园,Japanese garden
日式 英文,Japanese English
日式 英语,Japanese English
日式 菜,Japanese dishes
日式 街,Japanese street
日式 西式,Japanese Western
日式 选择,Japanese style
日式 酒吧,Japanese bar
日式 酒店,Japanese hotel
日式 风味,Japanese style
日式 风情,Japanese style
日式 风格,Japanese style
日式 食物,Japanese food
日式 餐厅,Japanese restaurant
日式 餐馆,Japanese restaurant
日式 饭店,Japanese restaurant
日本,Japan
早餐,breakfast
时候,time
是否,whether
景色,view
棒,Great
棒 b,Great b
棒 r,Great r
棒 一切,Great everything
棒 下面,Great below
棒 业,Great industry
棒 中文,Great in Chinese
棒 主要,Great main
棒 交通,Great traffic
棒 享受,Great enjoy
棒 人,Great man
棒 人员,Staff
棒 价位,Great price
棒 价格,Great price
棒 位置,Great position
棒 体验,Great experience
棒 便利,Great convenience
棒 出行,Great trip
棒 前台,Front desk
棒 午餐,Great lunch
棒 卫生,Great hygiene
棒 卫生间,Great toilet
棒 口味,Great taste
棒 吕,Great lu
棒 周边,Great surroundings
棒 味道,Great taste
棒 咖啡,Great coffee
棒 商场,Great mall
棒 地方,Great place
棒 地段,Great location
棒 地点,Great location
棒 夜景,Night view
棒 大堂,Great lobby
棒 字,Great letter;
棒 家,Great home
棒 巴士,Great bus
棒 店,Great shop
棒 态度,Great attitude
棒 总体,Great overall
棒 感觉,Great feeling
棒 我们,Great we
棒 房,Great room
棒 房间,Great room
棒 拉面,Great ramen
棒 效果,Great effect
棒 整体,Great overall
棒 料理,Great cuisine
棒 方面,Great aspect
棒 旅行,Great travel
棒 日航,Great Nikko
棒 早餐,Great breakfast
棒 早饭,Great breakfast
棒 晚餐,Great dinner
棒 景,Great view
棒 景色,Great scenery
棒 景观,Great landscape
棒 服务,Great service
棒 服务员,Great waiter
棒 服务生,Great waiter
棒 条件,Great condition
棒 棒,Great Great
棒 楼下,Great downstairs
棒 水平,Great level
棒 水果,Great fruit
棒 沙滩,Great beach
棒 泳池,Great pool
棒 洗衣机,Great washing machine
棒 浴场,Great bath
棒 浴室,Great bathroom
棒 海景,Great sea view
棒 海滩,Great beach
棒 温泉,Great hot spring
棒 游泳池,Great swimming pool
棒 灰,Great ash
棒 爷湖,Great lake
棒 牛,Great cow
棒 牛肉,Great beef
棒 环境,Great environment
棒 班车,Great shuttle
棒 球场,Baseball field
棒 用品,Great supplies
棒 真,Awesome really
棒 硬件,Great hardware
棒 管理,Great management
棒 细节,Great details
棒 美景,Great views
棒 美食,Great gourmet
棒 自助餐,Great buffet
棒 花园,Great garden
棒 英文,Great English
棒 英语,Great English
棒 茶,Great tea
棒 菜品,Great dishes
棒 虾,Great shrimp
棒 街,Great street
棒 装修,Great decoration
棒 视野,Great
棒 设备,Great equipment
棒 设施,Great facilities
棒 设计,Great design
棒 超市,Great supermarket
棒 软件,Great software
棒 那,Great that
棒 酒店,Great hotel
棒 隔音,Soundproof
棒 风景,Great scenery
棒 风格,Great style
棒 食物,Great food
棒 餐厅,Great restaurant
棒 餐食,Good meal
棒 餐饮,Great food
棒 餐馆,Great restaurant
棒 馆,Great hall
棒 鸡,Great chicken
棒 ！！,Great ! !
欣赏,enjoy
没有 一流,Not first class
没有 一般,No average
没有 不错,No good
没有 中文,no Chinese
没有 交通,No traffic
没有 人员,No personnel
没有 价格,No price
没有 住,No live
没有 便利,No convenience
没有 出行,No travel
没有 卫生,No hygiene
没有 可以,"No, yes"
没有 吃,did not eat
没有 周边,No surroundings
没有 地方,No place
没有 地铁,No subway
没有 地铁站,No subway station
没有 坐,Not sitting
没有 多,No more
没有 大,No big
没有 好吃,No delicious
没有 干净,No clean
没有 推荐,Not recommended
没有 新,No new
没有 日本,No japan
没有 早餐,No breakfast
没有 时候,No time
没有 是否,No if
没有 景色,No view
没有 棒,No stick
没有 欣赏,No appreciation
没有 漂亮,Not beautiful
没有 热情,No passion
没有 环境,No environment
没有 看到,did not see
没有 真心,Not true
没有 算,No count
没有 美食,No gourmet
没有 老,No old
没有 能,No can
没有 舒服,Not comfortable
没有 见,No see
没有 订,Not ordered
没有 说,Did not say
没有 购物,No shopping
没有 赞,No like
没有 距离,No distance
没有 过,Never had
没有 近,No near
没有 远,No far
没有 选择,no choice
没有 问题,no problem
没有 附近,Not nearby
没有 陈旧,Not stale
没有 需要,No need
没有 风景,No scenery
漂亮,Pretty
漂亮 m,Pretty m
漂亮 人,Beautiful people
漂亮 前台,Beautiful
漂亮 地方,Beautiful place
漂亮 塔,Beautiful tower
漂亮 外观,Beautiful appearance
漂亮 夜景,Beautiful
漂亮 大厅,Pretty hall
漂亮 大堂,Beautiful lobby
漂亮 妹子,Pretty girl
漂亮 姑娘,beautiful girl
漂亮 对面,Pretty opposite
漂亮 广场,Pretty square
漂亮 庭院,Pretty courtyard
漂亮 建筑,Beautiful building
漂亮 房,Beautiful room
漂亮 房间,Nice room
漂亮 景,Beautiful scene
漂亮 景色,Beautiful view
漂亮 景观,Beautiful landscape
漂亮 服务员,Pretty waiter
漂亮 楼下,Pretty downstairs
漂亮 樱花,Beautiful cherry blossom
漂亮 气派,Beautiful style
漂亮 沙滩,Beautiful beach
漂亮 海景,Beautiful seascape
漂亮 海滩,Pretty beach
漂亮 温泉,Beautiful hot spring
漂亮 游泳池,Nice swimming pool
漂亮 环境,Beautiful environment
漂亮 花园,Pretty garden
漂亮 菜,Beautiful dish
漂亮 装修,Beautiful decoration
漂亮 装饰,Beautiful decoration
漂亮 视野,Beautiful vision
漂亮 设计,Beautiful design
漂亮 酒店,Beautiful hotel
漂亮 风景,Beautiful scenery
漂亮 餐厅,Beautiful restaurant
烤肉,Barbecue
热情,enthusiasm
热情 个个,Enthusiasm
热情 中文,Passion Chinese
热情 事情,Passion things
热情 人,Passionate people
热情 人员,Enthusiastic people
热情 他们,Passionate them
热情 前台,Enthusiasm
热情 司机,Enthusiastic driver
热情 员工,Enthusiastic staff
热情 周到,Warm and thoughtful
热情 大叔,Enthusiasm
热情 大姐,Enthusiasm
热情 女生,Passion schoolgirl
热情 好客,Hospitality
热情 妹子,Passionate girl
热情 客服,Enthusiastic customer service
热情 小哥,Enthusiasm
热情 小姐,Passionate lady
热情 工作,Passion work
热情 帮,Enthusiasm
热情 态度,Enthusiasm attitude
热情 感觉,Passion feeling
热情 房间,Warm room
热情 接待,Warm reception
热情 有的,Enthusiasm
热情 服务,Warm service
热情 服务员,Enthusiastic waiter
热情 服务生,Passionate waiter
热情 环境,Warm environment
热情 眼,Passion eye
热情 礼貌,Warm and polite
热情 老板,Enthusiastic boss
热情 老爷爷,Passion grandpa
热情 英语,Passion English
热情 行李员,Passionate Bellman
热情 酒店,Passion hotel
热情 阿姨,Passionate aunt
特别 棒,Very good
特别 热情,Particularly passionate
环境,surroundings
看到,see
真 棒,Awesome
真心,sincere
真心 交通,Sincere traffic
真心 位置,True position
真心 夜景,True heart
真心 好,Really good
真心 感觉,Really feel
真心 房间,Sincere room
真心 推荐,Really recommend
真心 方便,Really convenient
真心 楼下,Sincerely downstairs
真心 环境,Sincere environment
真心 礼貌,Sincere and polite
真心 贵,Really expensive
真心 酒店,True hotel
窗,window
算,Calculate
繁华 便利,Prosperous and convenient
纯 日式,Pure Japanese
美景,Beauty
美食,Gourmet
老,old
老 久,Old
老 五,Old five
老 人,Old man
老 儿,Old man
老 先生,Old sir
老 古董,Old antique
老 品牌,Old brand
老 城区,old Town
老 外观,Old appearance
老 夫,Old man
老 客人,Old guest
老 家具,Old furniture
老 宾馆,Old hotel
老 带,Old belt
老 床垫,Old mattress
老 店,Old shop
老 建筑,Old building
老 感觉,Old feeling
老 房子,old house
老 房间,Old room
老 日本,Old japan
老 旧,Old
老 星,Old star
老 服务,Old service
老 样子,same as usual
老 楼,Old building
老 款,old style
老 点,Old point
老 烟鬼,Old smoker
老 爷爷,Old grandpa
老 相对比,Old relative
老 硬件,Old hardware
老 街,Old street
老 装修,Old decoration
老 设备,Old equipment
老 设施,Old facility
老 酒,Old wine
老 酒店,Old hotel
老 阿姨,Old aunt
老 风格,Old style
老 饭店,Old hotel
老 馆,Old hall
老 鼻子,Old nose
能,can
舒服,Comfortable
舒服 一,Comfortable one
舒服 一如既往,Comfortable as always
舒服 三,Comfortable three
舒服 产品,Comfortable product
舒服 人,Comfortable
舒服 人间,Comfortable
舒服 住,Comfortable live
舒服 住宿,Comfortable accommodation
舒服 体验,Comfortable experience
舒服 值得,Comfortable worthy
舒服 出差,Comfortable
舒服 区域,Comfort zone
舒服 卫生,Comfortable and hygienic
舒服 卫生间,Comfortable toilet
舒服 吃,Comfortable eating
舒服 周边,Comfortable
舒服 品,Comfortable
舒服 地方,Comfortable place
舒服 坐,Comfortable sitting
舒服 大堂,Comfortable lobby
舒服 好,Comfortable good
舒服 子,Comfortable
舒服 孩子,Comfortable child
舒服 宝宝,Comfortable baby
舒服 客房,Comfortable rooms
舒服 寝具,Comfortable bedding
舒服 带,Comfortable
舒服 干净,Comfortable and clean
舒服 床,Comfortable bed
舒服 床垫,Comfortable mattress
舒服 床铺,Comfortable bed
舒服 心里,Comfortable
舒服 感觉,Comfortable feeling
舒服 房,Comfortable room
舒服 房间,Comfortable room
舒服 拖鞋,Comfortable slippers
舒服 按摩,Comfortable massage
舒服 按摩椅,Comfortable massage chair
舒服 整体,Comfortable overall
舒服 旅行,Comfortable travel
舒服 早餐,Comfortable breakfast
舒服 服务,Comfortable service
舒服 枕头,Comfortable pillow
舒服 榻榻米,Comfortable tatami
舒服 池,Comfortable pool
舒服 汤,Comfortable soup
舒服 沙发,Comfortable sofa
舒服 沙发床,Comfortable sofa bed
舒服 泡,Comfortable
舒服 泡汤,Comfortable
舒服 泡泡,Comfortable
舒服 泡泡澡,Comfortable bubble bath
舒服 泡澡,Comfortable bath
舒服 洗,Comfortable wash
舒服 洗漱,Comfortable
舒服 浴场,Comfortable
舒服 浴室,Comfortable bathroom
舒服 浴缸,Comfortable bathtub
舒服 海风,Comfortable
舒服 淋浴,Comfortable shower
舒服 温泉,Comfortable
舒服 澡堂,Comfortable
舒服 点,Be comfortable
舒服 环境,Comfortable environment
舒服 用品,Comfortable
舒服 真,Comfortable really
舒服 睡,Comfortable sleep
舒服 睡衣,Comfortable pajamas
舒服 空间,Comfortable space
舒服 肚子,Comfortable belly
舒服 色调,Comfortable tone
舒服 行走,Comfortable walking
舒服 被子,Comfortable quilt
舒服 被褥,Comfortable
舒服 装修,Comfortable decoration
舒服 设施,Comfortable facilities
舒服 酒店,Comfortable hotel
舒服 马桶,Comfortable toilet
般 便利,So convenient
花园,garden
西式 日式,Western style Japanese style
见,see
订,Order
说,Say
购物,shopping
赞,awesome
赤坂,Akasaka
超级 便利,Super convenient
超级 多,Super much
超级 大,Super big
超级 好吃,Super delicious
超级 棒,Excellent
超级 热情,Super passion
距离,distance
边,side
过,Pass
近,near
近 アメ,Near アメ
近 一,Nearly one
近 不足,Nearly insufficient
近 不错,Near good
近 专卖店,Near specialty store
近 东口,Near East Exit
近 中心,Near center
近 丹,Near Dan
近 主要,Near main
近 乐园,Near paradise
近 乐町站,Near Rakucho Station
近 交通,Near traffic
近 京都塔,Near Kyoto Tower
近 京都站,Near Kyoto Station
近 什么,Near what
近 仓库,Near warehouse
近 优,Near excellent
近 优势,Near advantage
近 优点,Near advantages
近 位置,Near position
近 佐贺站,Near Saga Station
近 便利店,Near convenience store
近 全家,Near the whole family
近 公交车,Near the bus
近 公司,Near company
近 公园,Near the park
近 关键,Near key
近 内线,Near inside
近 出口,Near exit
近 出来,Near out
近 出站口,Near the exit
近 前台,Near the front desk
近 前站,Near front station
近 区,Near zone
近 区域,Near area
近 博多站,Near Hakata Station
近 博物馆,Near museum
近 卫生,Near hygiene
近 厅,Near the hall
近 原宿,Near Harajuku
近 友,Close friend
近 口,Near mouth
近 周围,Around
近 周边,Near
近 品川站,Near Shinagawa Station
近 商业区,Near commercial area
近 商业街,Near commercial street
近 商圈,Near business district
近 商场,Near the mall
近 商店,Near store
近 喜,Near hi
近 图,Close figure
近 地,Near ground
近 地区,Near area
近 地方,Near place
近 地点,Near location
近 地铁,Near subway
近 地铁口,Near the subway exit
近 地铁站,Near subway station
近 场,Near field
近 场站,Near field station
近 城,Near city
近 堀,Near Hori
近 塔,Near tower
近 夜景,Close up
近 大学,Near university
近 大巴,Near the bus
近 大阪站,Near Osaka Station
近 好,Near good
近 好处,Near benefits
近 妆店,Near makeup shop
近 它,Near it
近 宾馆,Near hotel
近 宿,Near lodging
近 对面,Near opposite
近 寺,Near temple
近 小小,Near little
近 小路,Near path
近 屋,Near house
近 展览馆,Near the exhibition hall
近 展馆,Near the exhibition hall
近 山,Near mountain
近 崛,Near rise
近 崛心斋桥,Near Horshinsaibashi
近 巴士,Near the bus
近 巴士站,Near the bus stop
近 市中心,Near city center
近 市场,Near market
近 希尔顿,Near Hilton
近 店,Near shop
近 总站,Near terminus
近 感觉,Close feeling
近 房间,Near room
近 掘,Near dig
近 新宿站,Near Shinjuku Station
近 方便,Near convenient
近 方面,Near aspect
近 旁边,Near by
近 旅馆,Near hotel
近 日航,Near JAL
近 晚上,Near night
近 景点,Near Attractions
近 服务,Near service
近 札口,Near the gate
近 札幌站,Near Sapporo Station
近 机场,Near the airport
近 村,Near the village
近 树,Near tree
近 桥,Near bridge
近 梅田,Near Umeda
近 楼下,Near downstairs
近 步行,Near walk
近 步行街,Near pedestrian street
近 毛,Near hair
近 池袋站,Near Ikebukuro Station
近 波,Near wave
近 波线,Near wave line
近 海滩,Near beach
近 海边,Near the sea
近 温泉,Near hot spring
近 港口,Near port
近 火车站,Near the train station
近 点,near-point
近 熊本城,Near Kumamoto Castle
近 特别,Near special
近 狸小路,Near Tanukikoji
近 班车,Near Shuttle
近 田,Near field
近 电视台,Near TV station
近 电视塔,Near TV Tower
近 电车,Near tram
近 百货,Near department store
近 百货店,Near department store
近 皇居,Near Imperial Palace
近 真,Near true
近 社,Near society
近 神社,Near shrine
近 离,Close away
近 秋叶原,Near Akihabara
近 站,Near station
近 线,Near line
近 缆车,Near the cable car
近 缺点,Shortcomings
近 罗森,Near Rosen
近 美,Near beauty
近 美食街,Near Food Street
近 群,Near group
近 荷,Near Dutch
近 街,Near street
近 西,Near West
近 西口,Near West Exit
近 设施,Near facility
近 话,Near words
近 购物,Near shopping
近 走走,Close
近 超市,Near supermarket
近 距离,Close range
近 路,Short way
近 路程,Near distance
近 车站,Near the station
近 轮,Near round
近 边上,Near side
近 这里,Near here
近 通,Near pass
近 道顿堀,Near Dotonbori
近 道顿崛,Near Dotonbori
近 遗憾,Almost regret
近 酒店,Near hotel
近 重要,Nearly important
近 鉄塔,Near Railway Tower
近 铁,Kintetsu
近 铁塔,Near the tower
近 铁线,Kintetsu Line
近 铁路,Near railway
近 银座,Near Ginza
近 门,Near door
近 附,Close to
近 附近,Near near
近 離地鐵站,Close to the subway station
近 需要,Near need
近 顿堀,Near Tombori
近 顿崛,Near Tobori
近 顿挫,Nearly frustrated
近 顿觉,Near suddenly
近 飞机场,Near the airport
近 食物,Near food
近 餐厅,Near the restaurant
近 餐饮,Near Dining
近 馆子,Near restaurant
近 马食町站,Near Masashicho Station
近 👌,Near 👌
远,far
远 不足,Far insufficient
远 中心,Far center
远 乐园,Far paradise
远 交通,Far traffic
远 京都站,Far from Kyoto Station
远 位置,Far location
远 公园,Far park
远 出口,Far exit
远 卫生,Far health
远 后面,Far behind
远 周围,Far around
远 商业区,Business district
远 商业街,Far commercial street
远 商场,Far away
远 商城,Far mall
远 地方,Far place
远 地段,Far away
远 地点,Far location
远 地铁,Far subway
远 地铁口,Far away
远 地铁站,Far subway station
远 场,Far field
远 城,Far city
远 堺东站,Far Sakai East Station
远 塔楼,Far tower
远 处,far away
远 大巴,Far bus
远 大阪城,Far osaka castle
远 天桥,Far flyover
远 对面,Far opposite
远 寺,Far temple
远 屋,Far house
远 山,Far mountain
远 差,Far poor
远 市中心,Far downtown
远 市区,Far downtown
远 店,Far shop
远 房间,Far room
远 拉面,Far ramen
远 新宿站,Far Shinjuku Station
远 旁边,Far side
远 景点,Far away
远 服务,Far service
远 札幌站,Sapporo Station
远 机场,Far airport
远 桥,Far bridge
远 楼下,Far downstairs
远 步行,Far walk
远 波,Far wave
远 清水寺,Far Kiyomizu Temple
远 火车站,Far away
远 点,Further
远 百货,Far away
远 码头,Far pier
远 站,Far station
远 线,Far line
远 缺点,Far disadvantage
远 美食,Far away
远 街,Far street
远 话,Far away
远 购物,Far shopping
远 走,Far away
远 超市,Far supermarket
远 距离,Far distance
远 路,Far way
远 路程,Far distance
远 车站,Far away
远 这里,Far here
远 通,Far pass
远 遗憾,Far sorry
远 那,Far that
远 酒店,Far hotel
远 银座,Far Ginza
远 门,Far door
远 门口,Far doorway
远 顿堀,Far tombori
远 马路,Far road
选择,select
里,in
银座,Ginza
问题,problem
附近,nearby
陈旧,obsolete
陈旧 不足,Outdated and insufficient
陈旧 内部,Old interior
陈旧 客房,Outdated rooms
陈旧 家具,Obsolete furniture
陈旧 感觉,Stale feeling
陈旧 房间,Outdated room
陈旧 有些,Outdated somewhat
陈旧 服务,Obsolete service
陈旧 点,Stale point
陈旧 装修,Old decoration
陈旧 设备,Obsolete equipment
陈旧 设施,Obsolete facilities
陈旧 酒店,Outdated hotel
需要,need
风景,landscape
饭,rice
